id,ticker symbol,security,sec filings,gics sector,gics sub industry,address of headquarters,date first added,cik
"1","MMM","3M Company","reports","Industrials","Industrial Conglomerates","St. Paul, Minnesota","0000-00-00","66740"
"2","ABT","Abbott Laboratories","reports","Health Care","Health Care Equipment","North Chicago, Illinois","1964-03-31","1800"
"3","ABBV","AbbVie","reports","Health Care","Pharmaceuticals","North Chicago, Illinois","2012-12-31","1551152"
"4","ACN","Accenture plc","reports","Information Technology","IT Consulting & Other Services","Dublin, Ireland","2011-07-06","1467373"
"5","ATVI","Activision Blizzard","reports","Information Technology","Home Entertainment Software","Santa Monica, California","2015-08-31","718877"
"6","AYI","Acuity Brands Inc","reports","Industrials","Electrical Components & Equipment","Atlanta, Georgia","2016-05-03","1144215"
"7","ADBE","Adobe Systems Inc","reports","Information Technology","Application Software","San Jose, California","1997-05-05","796343"
"8","AAP","Advance Auto Parts","reports","Consumer Discretionary","Automotive Retail","Roanoke, Virginia","2015-07-09","1158449"
"9","AES","AES Corp","reports","Utilities","Independent Power Producers & Energy Traders","Arlington, Virginia","0000-00-00","874761"
"10","AET","Aetna Inc","reports","Health Care","Managed Health Care","Hartford, Connecticut","1976-06-30","1122304"
"11","AMG","Affiliated Managers Group Inc","reports","Financials","Asset Management & Custody Banks","Beverly, Massachusetts","2014-07-01","1004434"
"12","AFL","AFLAC Inc","reports","Financials","Life & Health Insurance","Columbus, Georgia","0000-00-00","4977"
"13","A","Agilent Technologies Inc","reports","Health Care","Health Care Equipment","Santa Clara, California","0000-00-00","1090872"
"14","APD","Air Products & Chemicals Inc","reports","Materials","Industrial Gases","Allentown, Pennsylvania","1985-04-30","2969"
"15","AKAM","Akamai Technologies Inc","reports","Information Technology","Internet Software & Services","Cambridge, Massachusetts","2007-07-12","1086222"
"16","ALK","Alaska Air Group Inc","reports","Industrials","Airlines","Seattle, Washington","2016-05-13","766421"
"17","ALB","Albemarle Corp","reports","Materials","Specialty Chemicals","Baton Rouge, Louisiana","2016-07-01","915913"
"18","ALXN","Alexion Pharmaceuticals","reports","Health Care","Biotechnology","Cheshire, Connecticut","2012-05-25","899866"
"19","ALLE","Allegion","reports","Industrials","Building Products","Dublin, Ireland","2013-12-02","1579241"
"20","AGN","Allergan, Plc","reports","Health Care","Pharmaceuticals","Dublin, Ireland","0000-00-00","884629"
"21","ADS","Alliance Data Systems","reports","Information Technology","Data Processing & Outsourced Services","Plano, Texas","2013-12-23","1101215"
"22","LNT","Alliant Energy Corp","reports","Utilities","Electric Utilities","Madison, Wisconsin","2016-07-01","352541"
"23","ALL","Allstate Corp","reports","Financials","Property & Casualty Insurance","Northfield Township, Illinois","0000-00-00","899051"
"24","GOOGL","Alphabet Inc Class A","reports","Information Technology","Internet Software & Services","Mountain View, California","2014-04-03","1652044"
"25","GOOG","Alphabet Inc Class C","reports","Information Technology","Internet Software & Services","Mountain View, California","0000-00-00","1652044"
"26","MO","Altria Group Inc","reports","Consumer Staples","Tobacco","Richmond, Virginia","0000-00-00","764180"
"27","AMZN","Amazon.com Inc","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Seattle, Washington","2005-11-18","1018724"
"28","AEE","Ameren Corp","reports","Utilities","MultiUtilities","St. Louis, Missouri","1991-09-19","1002910"
"29","AAL","American Airlines Group","reports","Industrials","Airlines","Fort Worth, Texas","2015-03-23","6201"
"30","AEP","American Electric Power","reports","Utilities","Electric Utilities","Columbus, Ohio","0000-00-00","4904"
"31","AXP","American Express Co","reports","Financials","Consumer Finance","New York, New York","1976-06-30","4962"
"32","AIG","American International Group, Inc.","reports","Financials","Property & Casualty Insurance","New York, New York","1980-03-31","5272"
"33","AMT","American Tower Corp A","reports","Real Estate","Specialized REITs","Boston, Massachusetts","2007-11-19","1053507"
"34","AWK","American Water Works Company Inc","reports","Utilities","Water Utilities","Voorhees, New Jersey","2016-03-04","1410636"
"35","AMP","Ameriprise Financial","reports","Financials","Asset Management & Custody Banks","Minneapolis, Minnesota","0000-00-00","820027"
"36","ABC","AmerisourceBergen Corp","reports","Health Care","Health Care Distributors","Chesterbrook, Pennsylvania","0000-00-00","1140859"
"37","AME","AMETEK Inc","reports","Industrials","Electrical Components & Equipment","Berwyn, Pennsylvania","2013-09-23","1037868"
"38","AMGN","Amgen Inc","reports","Health Care","Biotechnology","Thousand Oaks, California","1992-01-02","318154"
"39","APH","Amphenol Corp","reports","Information Technology","Electronic Components","Wallingford, Connecticut","2008-09-30","820313"
"40","APC","Anadarko Petroleum Corp","reports","Energy","Oil & Gas Exploration & Production","The Woodlands, Texas","0000-00-00","773910"
"41","ADI","Analog Devices, Inc.","reports","Information Technology","Semiconductors","Norwood, Massachusetts","0000-00-00","6281"
"42","ANTM","Anthem Inc.","reports","Health Care","Managed Health Care","Indianapolis, Indiana","0000-00-00","1156039"
"43","AON","Aon plc","reports","Financials","Insurance Brokers","London, United Kingdom","0000-00-00","315293"
"44","APA","Apache Corporation","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","0000-00-00","6769"
"45","AIV","Apartment Investment & Mgmt","reports","Real Estate","REITs","Denver, Colorado","0000-00-00","922864"
"46","AAPL","Apple Inc.","reports","Information Technology","Computer Hardware","Cupertino, California","1982-11-30","320193"
"47","AMAT","Applied Materials Inc","reports","Information Technology","Semiconductor Equipment","Santa Clara, California","0000-00-00","6951"
"48","ADM","Archer-Daniels-Midland Co","reports","Consumer Staples","Agricultural Products","Decatur, Illinois","1981-07-29","7084"
"49","ARNC","Arconic Inc","reports","Industrials","Aerospace & Defense","New York, New York","1964-03-31","4281"
"50","AJG","Arthur J. Gallagher & Co.","reports","Financials","Insurance Brokers","Itasca, Illinois","2016-05-31","354190"
"51","AIZ","Assurant Inc","reports","Financials","Multi-line Insurance","New York, New York","2007-04-10","1267238"
"52","T","AT&T Inc","reports","Telecommunications Services","Integrated Telecommunications Services","Dallas, Texas","1983-11-30","732717"
"53","ADSK","Autodesk Inc","reports","Information Technology","Application Software","San Rafael, California","1989-12-01","769397"
"54","ADP","Automatic Data Processing","reports","Information Technology","Internet Software & Services","Roseland, New Jersey","1981-03-31","8670"
"55","AN","AutoNation Inc","reports","Consumer Discretionary","Specialty Stores","Fort Lauderdale, Florida","0000-00-00","350698"
"56","AZO","AutoZone Inc","reports","Consumer Discretionary","Specialty Stores","Memphis, Tennessee","0000-00-00","866787"
"57","AVB","AvalonBay Communities, Inc.","reports","Real Estate","Residential REITs","Arlington, Virginia[3]","2007-01-10","915912"
"58","AVY","Avery Dennison Corp","reports","Materials","Paper Packaging","Glendale, California","1987-12-31","8818"
"59","BHI","Baker Hughes Inc","reports","Energy","Oil & Gas Equipment & Services","Houston, Texas","0000-00-00","808362"
"60","BLL","Ball Corp","reports","Materials","Metal & Glass Containers","Broomfield, Colorado","1984-10-31","9389"
"61","BAC","Bank of America Corp","reports","Financials","Banks","Charlotte, North Carolina","1976-06-30","70858"
"62","BCR","Bard (C.R.) Inc.","reports","Health Care","Health Care Equipment","Murray Hill, New Jersey","1975-06-30","9892"
"63","BAX","Baxter International Inc.","reports","Health Care","Health Care Equipment","Deerfield, Illinois","1972-09-30","10456"
"64","BBT","BB&T Corporation","reports","Financials","Banks","Winston-Salem, North Carolina","0000-00-00","92230"
"65","BDX","Becton Dickinson","reports","Health Care","Health Care Equipment","Franklin Lakes, New Jersey","1972-09-30","10795"
"66","BBBY","Bed Bath & Beyond","reports","Consumer Discretionary","Specialty Stores","Union, New Jersey","0000-00-00","886158"
"67","BRK.B","Berkshire Hathaway","reports","Financials","Multi-Sector Holdings","Omaha, Nebraska","2010-02-16","1067983"
"68","BBY","Best Buy Co. Inc.","reports","Consumer Discretionary","Computer & Electronics Retail","Richfield, Minnesota","0000-00-00","764478"
"69","BIIB","BIOGEN IDEC Inc.","reports","Health Care","Biotechnology","Weston, Massachusetts","0000-00-00","875045"
"70","BLK","BlackRock","reports","Financials","Asset Management & Custody Banks","New York, New York","2011-04-04","1364742"
"71","HRB","Block H&R","reports","Financials","Consumer Finance","Kansas City, Missouri","1986-11-30","12659"
"72","BA","Boeing Company","reports","Industrials","Aerospace & Defense","Chicago, Illinois","0000-00-00","12927"
"73","BWA","BorgWarner","reports","Consumer Discretionary","Auto Parts & Equipment","Auburn Hills, Michigan","2011-12-19","908255"
"74","BXP","Boston Properties","reports","Real Estate","REITs","Boston, Massachusetts","0000-00-00","1037540"
"75","BSX","Boston Scientific","reports","Health Care","Health Care Equipment","Marlborough, Massachusetts[4]","0000-00-00","885725"
"76","BMY","Bristol-Myers Squibb","reports","Health Care","Health Care Distributors","New York, New York","0000-00-00","14272"
"77","AVGO","Broadcom","reports","Information Technology","Semiconductors","San Jose, California","2014-05-08","1441634"
"78","BF.B","Brown-Forman Corporation","reports","Consumer Staples","Distillers & Vintners","Louisville, Kentucky","1982-10-31","14693"
"79","CHRW","C. H. Robinson Worldwide","reports","Industrials","Air Freight & Logistics","Eden Prairie, Minnesota","0000-00-00","1043277"
"80","CA","CA, Inc.","reports","Information Technology","Systems Software","Islandia, New York","1987-07-31","356028"
"81","COG","Cabot Oil & Gas","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","2008-06-23","858470"
"82","CPB","Campbell Soup","reports","Consumer Staples","Packaged Foods & Meats","Camden, New Jersey","0000-00-00","16732"
"83","COF","Capital One Financial","reports","Financials","Consumer Finance","Tysons Corner, Virginia","0000-00-00","927628"
"84","CAH","Cardinal Health Inc.","reports","Health Care","Health Care Distributors","Dublin, Ohio","0000-00-00","721371"
"85","KMX","Carmax Inc","reports","Consumer Discretionary","Specialty Stores","Richmond, Virginia","2010-06-28","1170010"
"86","CCL","Carnival Corp.","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","0000-00-00","815097"
"87","CAT","Caterpillar Inc.","reports","Industrials","Construction & Farm Machinery & Heavy Trucks","Peoria, Illinois","0000-00-00","18230"
"88","CBG","CBRE Group","reports","Real Estate","Real Estate Services","Los Angeles, California","0000-00-00","1138118"
"89","CBS","CBS Corp.","reports","Consumer Discretionary","Broadcasting & Cable TV","New York, New York","1994-09-01","813828"
"90","CELG","Celgene Corp.","reports","Health Care","Biotechnology","Summit, New Jersey","0000-00-00","816284"
"91","CNC","Centene Corporation","reports","Health Care","Managed Health Care","St Louis, Missouri","2016-03-30","1071739"
"92","CNP","CenterPoint Energy","reports","Utilities","MultiUtilities","Houston, Texas","1985-07-31","1130310"
"93","CTL","CenturyLink Inc","reports","Telecommunications Services","Integrated Telecommunications Services","Monroe, Louisiana","0000-00-00","18926"
